MsgID	Color	Phase	Disp_ID	Priority	
1	1	0	1	1	
3	1	0	1	2
11	1	0	1	3
21	1	0	1	4
51	1	0	1	5
52	1	0	1	6
31	1	0	1	7
44	1	0	2	8
2	3	0	1	101
4	3	0	1	102
12	3	0	1	103
22	3	0	1	104
32	3	0	1	105
41	3	0	2	106
42	3	0	2	106
43	3	0	2	106
45	3	0	2	106
5	3	0	1	101	
3	1	1	1	1
11	1	1	1	6
21	1	1	1	4
31	1	1	1	5
51	1	1	1	7
52	1	1	1	8
44	1	1	2	9
6	1	1	1	2
2	3	1	1	101
4	3	1	1	102
22	3	1	1	103
32	3	1	1	104
12	3	1	1	105
41	3	1	2	106
42	3	1	2	106
43	3	1	2	106
45	3	1	2	106
6	1	2	1	1
3	1	2	1	2
21	1	2	1	4
51	1	2	1	5
52	1	2	1	6
31	1	2	1	7
44	1	2	2	8
11	2	2	1	9
2	3	2	1	101
4	3	2	1	102
22	3	2	1	103
12	3	2	1	104
41	3	2	2	105
42	3	2	2	105
43	3	2	2	105
45	3	2	2	105
32	3	2	1	106
44	1	3	2	1
3	1	3	1	2
11	2	3	1	3
21	1	3	1	4
31	1	3	1	5
6	2	3	1	6
51	1	3	1	7
52	1	3	1	8
41	3	3	2	101
42	3	3	2	101
43	3	3	2	101
45	3	3	2	101
22	3	3	1	102
12	3	3	1	103
32	3	3	1	104
4	3	3	1	105
2	3	3	1	106
