TestCase003,,,,,,,,,,,,,,,,,,
time,In1,time,In2,time,In3,time,In4,time,In5,time,In6,time,In7,time,In8,time,In9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0.001,4294967295,0.001,-1,0.001,0,0.001,-1,0.001,0,0.001,-1,0.001,-1,0.001,1
0.002,0,0.002,0,0.002,-2,0.002,1,0.002,0,0.002,1,0.002,0,0.002,-2,0.002,2
0.003,0,0.003,1,0.003,-1,0.003,2,0.003,1,0.003,2,0.003,1,0.003,-3,0.003,3
0.004,0,0.004,2,0.004,0,0.004,2,0.004,2,0.004,3,0.004,2,0.004,-4,0.004,4
0.005,0,0.005,3,0.005,1,0.005,3,0.005,3,0.005,4,0.005,3,0.005,-5,0.005,5
0.006,0,0.006,3,0.006,1,0.006,4,0.006,4,0.006,5,0.006,2,0.006,-4,0.006,4
0.007,0,0.007,4,0.007,2,0.007,5,0.007,4,0.007,6,0.007,1,0.007,-3,0.007,3
0.008,0,0.008,5,0.008,3,0.008,6,0.008,5,0.008,7,0.008,0,0.008,-2,0.008,2
0.009,0,0.009,6,0.009,2,0.009,7,0.009,6,0.009,8,0.009,1,0.009,-1,0.009,1
0.01,0,0.01,7,0.01,3,0.01,8,0.01,6,0.01,9,0.01,0,0.01,0,0.01,0
0.011,0,0.011,6,0.011,4,0.011,9,0.011,7,0.011,10,0.011,1,0.011,1,0.011,-1
0.012,0,0.012,7,0.012,5,0.012,10,0.012,8,0.012,11,0.012,0,0.012,2,0.012,-2
0.013,0,0.013,8,0.013,6,0.013,11,0.013,9,0.013,12,0.013,-1,0.013,3,0.013,-3
0.014,0,0.014,9,0.014,7,0.014,12,0.014,10,0.014,13,0.014,0,0.014,4,0.014,-4
0.015,0,0.015,10,0.015,8,0.015,13,0.015,11,0.015,14,0.015,1,0.015,5,0.015,-5
0.016,0,0.016,10,0.016,8,0.016,13,0.016,11,0.016,14,0.016,1,0.016,5,0.016,-5
