##2/7/2003
##2:50 PM
##INPUT ORDER
##Mach	Angle	Wire_1	Wire_2
0.066	-40.000	1.251	1.609
0.076	-40.000	1.268	1.643
0.085	-40.000	1.284	1.675
0.095	-40.000	1.298	1.705
0.105	-39.999	1.309	1.732
0.115	-39.999	1.323	1.758
0.124	-39.999	1.333	1.780
0.133	-39.999	1.342	1.799
0.143	-39.999	1.356	1.821
0.153	-39.998	1.366	1.842
0.172	-39.998	1.380	1.877
0.066	-34.999	1.283	1.609
0.076	-34.998	1.300	1.641
0.085	-35.000	1.320	1.673
0.095	-34.999	1.340	1.704
0.105	-34.998	1.356	1.730
0.115	-35.000	1.368	1.757
0.124	-34.999	1.386	1.779
0.133	-35.000	1.396	1.800
0.143	-34.999	1.413	1.819
0.152	-35.000	1.419	1.839
0.172	-35.002	1.446	1.874
0.066	-30.002	1.312	1.605
0.075	-30.003	1.334	1.638
0.085	-30.002	1.356	1.671
0.095	-30.002	1.379	1.700
0.105	-30.002	1.398	1.726
0.115	-30.002	1.411	1.752
0.124	-30.002	1.433	1.775
0.133	-30.003	1.447	1.795
0.143	-30.002	1.457	1.816
0.153	-30.003	1.476	1.836
0.172	-30.001	1.498	1.871
0.066	-24.998	1.344	1.600
0.076	-24.998	1.372	1.634
0.085	-24.998	1.390	1.665
0.096	-24.999	1.417	1.695
0.104	-24.997	1.435	1.719
0.114	-24.999	1.453	1.746
0.124	-24.998	1.470	1.770
0.133	-24.999	1.482	1.789
0.143	-24.999	1.499	1.810
0.152	-24.999	1.513	1.828
0.172	-24.999	1.544	1.865
0.066	-20.002	1.374	1.592
0.075	-20.002	1.402	1.626
0.085	-20.002	1.426	1.659
0.095	-20.002	1.445	1.687
0.105	-20.002	1.468	1.713
0.115	-20.003	1.488	1.739
0.124	-20.002	1.506	1.762
0.133	-20.002	1.524	1.781
0.143	-20.002	1.537	1.804
0.153	-20.003	1.550	1.821
0.172	-20.003	1.581	1.856
0.066	-14.999	1.404	1.583
0.075	-14.999	1.428	1.616
0.085	-14.999	1.455	1.648
0.095	-14.999	1.481	1.677
0.104	-14.999	1.497	1.703
0.115	-14.999	1.521	1.729
0.124	-14.999	1.537	1.750
0.133	-14.999	1.558	1.771
0.143	-14.998	1.574	1.791
0.152	-14.998	1.586	1.810
0.172	-14.998	1.616	1.844
0.066	-10.002	1.428	1.573
0.075	-10.003	1.451	1.606
0.085	-10.003	1.482	1.638
0.095	-10.003	1.506	1.666
0.104	-10.003	1.526	1.692
0.115	-10.002	1.550	1.717
0.124	-10.002	1.567	1.738
0.133	-10.002	1.585	1.759
0.143	-10.002	1.600	1.778
0.152	-10.003	1.617	1.797
0.172	-10.003	1.648	1.833
0.066	-4.999	1.448	1.560
0.075	-4.999	1.478	1.593
0.085	-4.998	1.504	1.623
0.095	-4.998	1.529	1.651
0.104	-4.999	1.550	1.675
0.115	-4.999	1.573	1.702
0.124	-4.999	1.594	1.723
0.133	-4.999	1.610	1.743
0.143	-4.999	1.632	1.762
0.152	-4.998	1.646	1.783
0.172	-4.998	1.675	1.814
0.066	-0.001	1.469	1.545
0.075	-0.002	1.496	1.575
0.085	-0.001	1.524	1.606
0.095	-0.001	1.552	1.632
0.104	-0.002	1.574	1.658
0.114	-0.002	1.595	1.682
0.124	-0.001	1.616	1.703
0.133	-0.002	1.635	1.723
0.143	-0.003	1.653	1.744
0.152	-0.002	1.670	1.762
0.171	-0.003	1.699	1.794
0.066	5.002	1.485	1.527
0.075	5.002	1.515	1.556
0.085	5.002	1.543	1.587
0.095	5.003	1.571	1.614
0.104	5.003	1.591	1.637
0.114	5.001	1.615	1.660
0.124	5.003	1.634	1.682
0.133	5.001	1.653	1.700
0.143	5.001	1.671	1.720
