1976 Standard Atmosphere in SI Units


Column 1 = Altitude [m] 
Column 2 = Temperature [Kelvin] 
Column 3 = Pressure [pascal] 
Column 4 = Density [kg/m3] 
Column 5 = Speed of sound [m/s] 


Col1 Col2   Col3        Col4   Col5
---- ----   ----        ----   ----
   0 288.15 101325      1.225  340.2941 
 100 287.5  100129.4386 1.2133 339.91 
 200 286.85 98945.3256  1.2017 339.5256 
 300 286.2  97772.5771  1.1901 339.1407 
 400 285.55 96611.1094  1.1786 338.7553 
 500 284.9  95460.8393  1.1673 338.3696 
 600 284.25 94321.6841  1.156  337.9833 
 700 283.6  93193.5613  1.1448 337.5967 
 800 282.95 92076.389   1.1336 337.2096 
 900 282.3  90970.0858  1.1226 336.822 
1000 281.65 89874.5705  1.1116 336.434 
1100 281    88789.7625  1.1008 336.0456 
1200 280.35 87715.5816  1.09   335.6567 
1300 279.7  86651.9479  1.0793 335.2674 
1400 279.05 85598.7819  1.0686 334.8776 
1500 278.4  84556.0048  1.0581 334.4873 
1600 277.75 83523.538   1.0476 334.0966 
1700 277.1  82501.3031  1.0372 333.7055 
1800 276.45 81489.2226  1.0269 333.3138 
1900 275.8  80487.2191  1.0166 332.9218 
2000 275.15 79495.2155  1.0065 332.5292 
2100 274.5  78513.1354  0.9964 332.1362 
2200 273.85 77540.9027  0.9864 331.7427 
2300 273.2  76578.4417  0.9765 331.3488 
2400 272.55 75625.677   0.9666 330.9544 
2500 271.9  74682.5337  0.9569 330.5595 
2600 271.25 73748.9373  0.9472 330.1642 
2700 270.6  72824.8137  0.9375 329.7683 
2800 269.95 71910.0892  0.928  329.372 
2900 269.3  71004.6905  0.9185 328.9753 
3000 268.65 70108.5447  0.9091 328.578 
3100 268    69221.5792  0.8998 328.1803 
3200 267.35 68343.722   0.8905 327.782 
3300 266.7  67474.9012  0.8814 327.3833 
3400 266.05 66615.0457  0.8723 326.9841 
3500 265.4  65764.0844  0.8632 326.5845 
3600 264.75 64921.9467  0.8543 326.1843 
3700 264.1  64088.5626  0.8454 325.7836 
3800 263.45 63263.8621  0.8366 325.3825 
3900 262.8  62447.7761  0.8278 324.9808 
4000 262.15 61640.2353  0.8191 324.5787 
4100 261.5  60841.1712  0.8105 324.176 
4200 260.85 60050.5157  0.802  323.7729 
4300 260.2  59268.2007  0.7935 323.3692 
4400 259.55 58494.1588  0.7851 322.9651 
4500 258.9  57728.323   0.7768 322.5604 
4600 258.25 56970.6264  0.7685 322.1553 
4700 257.6  56221.0029  0.7603 321.7496 
4800 256.95 55479.3863  0.7522 321.3434 
4900 256.3  54745.7111  0.7441 320.9367 
5000 255.65 54019.9121  0.7361 320.5295 
5100 255    53301.9244  0.7282 320.1217 
5200 254.35 52591.6836  0.7203 319.7135 
5300 253.7  51889.1255  0.7125 319.3047 
5400 253.05 51194.1864  0.7048 318.8954 
5500 252.4  50506.803   0.6971 318.4856 
5600 251.75 49826.9121  0.6895 318.0752 
5700 251.1  49154.4512  0.682  317.6643 
5800 250.45 48489.3581  0.6745 317.2529 
5900 249.8  47831.5707  0.6671 316.8409 
6000 249.15 47181.0276  0.6597 316.4284 
6100 248.5  46537.6675  0.6524 316.0154 
6200 247.85 45901.4296  0.6452 315.6018 
6300 247.2  45272.2534  0.638  315.1877 
6400 246.55 44650.0788  0.6309 314.7731 
6500 245.9  44034.8461  0.6238 314.3579 
6600 245.25 43426.4958  0.6169 313.9421 
6700 244.6  42824.9689  0.6099 313.5258 
6800 243.95 42230.2067  0.6031 313.1089 
6900 243.3  41642.1508  0.5963 312.6915 
7000 242.65 41060.7432  0.5895 312.2736 
7100 242    40485.9263  0.5828 311.855 
7200 241.35 39917.6427  0.5762 311.4359 
7300 240.7  39355.8355  0.5696 311.0163 
7400 240.05 38800.4481  0.5631 310.596 
7500 239.4  38251.4241  0.5566 310.1752 
7600 238.75 37708.7078  0.5502 309.7539 
7700 238.1  37172.2434  0.5439 309.3319 
7800 237.45 36641.9758  0.5376 308.9094 
7900 236.8  36117.85    0.5313 308.4863 
8000 236.15 35599.8114  0.5252 308.0626 
8100 235.5  35087.8059  0.519  307.6384 
8200 234.85 34581.7795  0.513  307.2135 
8300 234.2  34081.6786  0.507  306.7881 
8400 233.55 33587.4501  0.501  306.3621 
8500 232.9  33099.0409  0.4951 305.9355 
8600 232.25 32616.3987  0.4892 305.5082 
8700 231.6  32139.471   0.4834 305.0804 
8800 230.95 31668.2061  0.4777 304.652 
8900 230.3  31202.5523  0.472  304.223 
9000 229.65 30742.4584  0.4663 303.7934 
9100 229    30287.8735  0.4608 303.3631 
9200 228.35 29838.7468  0.4552 302.9323 
9300 227.7  29395.0283  0.4497 302.5008 
9400 227.05 28956.6678  0.4443 302.0688 
9500 226.4  28523.6158  0.4389 301.6361 
9600 225.75 28095.8229  0.4336 301.2028 
9700 225.1  27673.2402  0.4283 300.7688 
9800 224.45 27255.8189  0.423  300.3343 
9900 223.8  26843.5107  0.4178 299.8991 
10000 223.15 26436.2676 0.4127 299.4632 
10100 222.5 26034.0417 0.4076 299.0268 
10200 221.85 25636.7857 0.4026 298.5897 
10300 221.2 25244.4525 0.3976 298.1519 
10400 220.55 24856.9952 0.3926 297.7135 
10500 219.9 24474.3673 0.3877 297.2745 
10600 219.25 24096.5227 0.3829 296.8348 
10700 218.6 23723.4155 0.3781 296.3945 
10800 217.95 23355.0001 0.3733 295.9535 
10900 217.3 22991.2313 0.3686 295.5119 
11000 216.65 22632.064 0.3639 295.0696 
11100 216.65 22277.9816 0.3582 295.0696 
11200 216.65 21929.4389 0.3526 295.0696 
